police_station,day_of_week,hour,unique_vehicle_types,vehicle_types
Adugodi,Sunday,0,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,1,6,"['CAR', 'HGV', 'JEEP', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,2,7,"['CAR', 'LGV', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
Adugodi,Sunday,3,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,4,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,5,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,6,7,"['CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER']"
Adugodi,Sunday,7,8,"['CAR', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
Adugodi,Sunday,8,7,"['CAR', 'LGV', 'MINI LORRY', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
Adugodi,Sunday,9,6,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,10,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,11,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,12,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,13,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,14,1,['SCOOTER']
Adugodi,Sunday,19,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Sunday,20,4,"['CAR', 'MOTOR CYCLE', 'SCOOTER', 'VAN']"
Adugodi,Sunday,21,4,"['CAR', 'GOODS AUTO', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Sunday,22,5,"['CAR', 'JEEP', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Sunday,23,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Thursday,0,8,"['CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Adugodi,Thursday,1,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Thursday,2,4,"['CAR', 'JEEP', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Thursday,3,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Thursday,4,2,"['CAR', 'MOTOR CYCLE']"
Adugodi,Thursday,5,5,"['CAR', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Thursday,6,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Thursday,7,6,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Thursday,8,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PRIVATE BUS', 'SCOOTER']"
Adugodi,Thursday,9,1,['PASSENGER AUTO']
Adugodi,Thursday,19,4,"['LGV', 'PASSENGER AUTO', 'TANKER', 'VAN']"
Adugodi,Thursday,20,4,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Thursday,21,5,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO']"
Adugodi,Thursday,22,4,"['CAR', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Thursday,23,4,"['CAR', 'MOPED', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Tuesday,0,6,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Tuesday,1,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Tuesday,2,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Tuesday,3,4,"['CAR', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Adugodi,Tuesday,4,6,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'TEMPO']"
Adugodi,Tuesday,5,6,"['CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Tuesday,6,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Tuesday,7,3,"['MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Tuesday,8,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Tuesday,9,1,['MOTOR CYCLE']
Adugodi,Tuesday,10,1,['CAR']
Adugodi,Tuesday,12,1,['SCOOTER']
Adugodi,Tuesday,19,6,"['CAR', 'HGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'SCOOTER']"
Adugodi,Tuesday,20,5,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Tuesday,21,5,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Tuesday,22,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Tuesday,23,6,"['CAR', 'GOODS AUTO', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Wednesday,0,5,"['CAR', 'MAXI-CAB', 'OTHERS', 'SCOOTER', 'TEMPO']"
Adugodi,Wednesday,1,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Wednesday,2,6,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
Adugodi,Wednesday,3,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Wednesday,4,5,"['CAR', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Wednesday,5,6,"['CAR', 'GOODS AUTO', 'JEEP', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Wednesday,6,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Wednesday,7,5,"['CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'SCOOTER']"
Adugodi,Wednesday,8,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Wednesday,9,2,"['CAR', 'SCOOTER']"
Adugodi,Wednesday,10,1,['SCOOTER']
Adugodi,Wednesday,19,2,"['CAR', 'HGV']"
Adugodi,Wednesday,20,7,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER']"
Adugodi,Wednesday,21,6,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Adugodi,Wednesday,22,8,"['CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
Adugodi,Wednesday,23,7,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Friday,0,7,"['JEEP', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER', 'TOURIST BUS']"
Ashok Nagar,Friday,1,6,"['CAR', 'JEEP', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Friday,2,5,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Friday,3,4,"['CAR', 'LGV', 'PASSENGER AUTO', 'SCHOOL VEHICLE']"
Ashok Nagar,Friday,4,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Friday,5,3,"['MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Friday,6,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Friday,7,4,"['GOODS AUTO', 'LGV', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Friday,8,1,['SCOOTER']
Ashok Nagar,Friday,11,1,['PASSENGER AUTO']
Ashok Nagar,Friday,19,2,"['CAR', 'JEEP']"
Ashok Nagar,Friday,20,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PRIVATE BUS', 'SCOOTER']"
Ashok Nagar,Friday,21,11,"['CAR', 'GOODS AUTO', 'HGV', 'JEEP', 'LGV', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCHOOL VEHICLE', 'SCOOTER']"
Ashok Nagar,Friday,22,10,"['CAR', 'HGV', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER']"
Ashok Nagar,Friday,23,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,0,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,1,4,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Monday,2,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,3,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,4,6,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Ashok Nagar,Monday,5,6,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
Ashok Nagar,Monday,6,7,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Ashok Nagar,Monday,7,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,8,6,"['CAR', 'GOODS AUTO', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,9,3,"['MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,10,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,11,3,"['CAR', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,19,4,"['CAR', 'JEEP', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Monday,20,3,"['CAR', 'LORRY/GOODS VEHICLE', 'SCOOTER']"
Ashok Nagar,Monday,21,7,"['CAR', 'GOODS AUTO', 'LGV', 'MOPED', 'MOTOR CYCLE', 'SCOOTER', 'VAN']"
Ashok Nagar,Monday,22,10,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MINI LORRY', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER', 'TEMPO']"
Ashok Nagar,Monday,23,5,"['CAR', 'JEEP', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,0,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,1,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,2,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,3,5,"['CAR', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,4,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,5,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,6,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,7,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,8,4,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Saturday,11,1,['MOTOR CYCLE']
Ashok Nagar,Saturday,19,2,"['MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Saturday,20,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Saturday,21,6,"['CAR', 'GOODS AUTO', 'MAXI-CAB', 'MOTOR CYCLE', 'SCHOOL VEHICLE', 'SCOOTER']"
Ashok Nagar,Saturday,22,5,"['CAR', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Saturday,23,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Sunday,0,4,"['CAR', 'GOODS AUTO', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Sunday,1,8,"['CAR', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Ashok Nagar,Sunday,2,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Sunday,3,5,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Ashok Nagar,Sunday,4,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Sunday,5,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Sunday,6,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Sunday,7,6,"['CAR', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
Ashok Nagar,Sunday,8,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Sunday,9,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Sunday,11,3,"['CAR', 'MOPED', 'MOTOR CYCLE']"
Ashok Nagar,Sunday,12,2,"['CAR', 'PASSENGER AUTO']"
Ashok Nagar,Sunday,19,1,['CAR']
Ashok Nagar,Sunday,20,2,"['MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Sunday,21,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Sunday,22,7,"['CAR', 'JEEP', 'LGV', 'MOTOR CYCLE', 'SCOOTER', 'TANKER', 'VAN']"
Ashok Nagar,Sunday,23,6,"['CAR', 'JEEP', 'LGV', 'MOTOR CYCLE', 'SCOOTER', 'TEMPO']"
Ashok Nagar,Thursday,0,5,"['CAR', 'GOODS AUTO', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Thursday,1,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Thursday,2,5,"['CAR', 'JEEP', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Thursday,3,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Thursday,4,7,"['CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Ashok Nagar,Thursday,5,6,"['CAR', 'GOODS AUTO', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Ashok Nagar,Thursday,6,6,"['CAR', 'GOODS AUTO', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Thursday,7,5,"['CAR', 'GOODS AUTO', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO']"
Ashok Nagar,Thursday,8,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Thursday,9,1,['SCOOTER']
Ashok Nagar,Thursday,10,1,['CAR']
Ashok Nagar,Thursday,19,7,"['CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Thursday,20,3,"['MOTOR CYCLE', 'SCOOTER', 'VAN']"
Ashok Nagar,Thursday,21,8,"['CAR', 'GOODS AUTO', 'JEEP', 'MOPED', 'MOTOR CYCLE', 'SCHOOL VEHICLE', 'SCOOTER', 'TOURIST BUS']"
Ashok Nagar,Thursday,22,8,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER', 'TEMPO', 'VAN']"
Ashok Nagar,Thursday,23,8,"['CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER']"
Ashok Nagar,Tuesday,0,7,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER']"
Ashok Nagar,Tuesday,1,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Ashok Nagar,Tuesday,2,6,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Tuesday,3,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Tuesday,4,7,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
Ashok Nagar,Tuesday,5,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Tuesday,6,5,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER']"
Ashok Nagar,Tuesday,7,5,"['CAR', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Tuesday,8,4,"['CAR', 'MAXI-CAB', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Tuesday,10,1,['PASSENGER AUTO']
Ashok Nagar,Tuesday,11,2,"['CAR', 'PASSENGER AUTO']"
Ashok Nagar,Tuesday,19,2,"['CAR', 'JEEP']"
Ashok Nagar,Tuesday,20,5,"['CAR', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Tuesday,21,7,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Ashok Nagar,Tuesday,22,8,"['CAR', 'GOODS AUTO', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER', 'TOURIST BUS', 'VAN']"
